Link_Detail,Show_Title,Date/Time,Venue_Name,Type,Image Url
https://www.ibdb.com/broadway-production/operation-mincemeat-a-new-musical-540518,Operation Mincemeat: A New Musical,"(Mar 20, 2025 - Present)",John Golden Theatre,Musical,https://www.broadway.org/assets/shows/micemeat-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/othello-540298,Othello,"(Mar 23, 2025 - Jun 08, 2025)",Ethel Barrymore Theatre,Play,https://www.broadway.org/assets/shows/othello-2025.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/pirates-the-penzance-musical-539492,Pirates! The Penzance Musical,"(Apr 24, 2025 - Jul 27, 2025)",Todd Haimes Theatre,Musical,https://www.broadway.org/assets/shows/pirates-penzance-roundabout-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/purpose-540198,Purpose,"(Mar 17, 2025 - Jul 06, 2025)",Hayes Theater,Play,https://www.broadway.org/assets/shows/purpose-update-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/real-women-have-curves-the-musical-540775,Real Women Have Curves: The Musical,"(Apr 27, 2025 - Present)",James Earl Jones Theatre,Musical,https://www.broadway.org/assets/shows/rwhc-2025_2025-04-03-155443_tzjj.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/six-the-musical-523485,SIX: The Musical,"(Oct 03, 2021 - Oct 30, 2022)",Brooks Atkinson Theatre,Musical,https://www.broadway.org/assets/shows/six-broadway-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/smash-540710,SMASH,"(Apr 10, 2025 - Present)",Imperial Theatre,Musical,https://www.broadway.org/assets/shows/smash-2025_2025-01-24-213944_retn.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/stephen-sondheims-old-friends-539390,Stephen Sondheim's Old Friends,"(Apr 08, 2025 - Jun 29, 2025)",Samuel J. Friedman Theatre,Musical,https://www.broadway.org/assets/shows/oldfriends.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/stranger-things-the-first-shadow-540113,Stranger Things: The First Shadow,"(Apr 22, 2025 - Present)",Marquis Theatre,Play,https://www.broadway.org/assets/shows/strangerthings-1000_2024-08-07-190429_rwbv.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/sunset-boulevard-539163,Sunset Boulevard,"(Oct 20, 2024 - Jul 13, 2025)",St. James Theatre,Musical,https://www.broadway.org/assets/shows/sunset-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/the-book-of-mormon-488721,The Book of Mormon,"(Mar 24, 2011 - Present)",Eugene O'Neill Theatre,Musical,https://www.broadway.org/assets/shows/bookofmormon-1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/the-great-gatsby-538662,The Great Gatsby,"(Apr 25, 2024 - Present)",Broadway Theatre,Musical,https://www.broadway.org/assets/shows/gatsby-1000-update.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/the-last-five-years-540016,The Last Five Years,"(Apr 06, 2025 - Jun 22, 2025)",Hudson Theatre,Musical,https://www.broadway.org/assets/shows/thelastfiveyears.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/the-lion-king-4761,The Lion King,"(Nov 13, 1997 - Jun 04, 2006)",New Amsterdam Theatre,Musical,https://www.broadway.org/assets/shows/thelionking-24.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/the-outsiders-537824,The Outsiders,"(Apr 11, 2024 - Present)",Bernard B. Jacobs Theatre,Musical,https://www.broadway.org/assets/shows/outsiders1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/the-picture-of-dorian-gray-540658,The Picture of Dorian Gray,"(Mar 27, 2025 - Jun 29, 2025)",Music Box Theatre,Play,https://www.broadway.org/assets/shows/doriangray-1000b.png?width=2000&amp;quality=80&amp;fit=scale-down
https://www.ibdb.com/broadway-production/wicked-13485,Wicked,"(Oct 30, 2003 - Present)",Gershwin Theatre,Musical,https://www.broadway.org/assets/shows/wicked-1000x1000.jpg?width=2000&amp;quality=80&amp;fit=scale-down
